Date,portval,profit
2016-11-30,20013.817961884295,10013.817961884295
2016-12-01,19953.1585548696,9953.158554869598
2016-12-02,20030.620795761388,10030.620795761388
2016-12-05,20069.96070313655,10069.960703136549
2016-12-06,20004.68842716584,10004.688427165838
2016-12-07,20008.364620505,10008.364620504999
2016-12-08,20356.690386541275,10356.690386541275
2016-12-09,20390.963822647533,10390.963822647533
2016-12-12,20503.9327708965,10503.9327708965
2016-12-13,20731.834814970647,10731.834814970647
2016-12-14,20671.69842175998,10671.698421759978
2016-12-15,20574.024325102368,10574.024325102368
2016-12-16,20549.11208568536,10549.11208568536
2016-12-19,20624.865201639564,10624.865201639564
2016-12-20,20624.865201639564,10624.865201639564
2016-12-21,20616.682455364422,10616.682455364422
2016-12-22,20600.515731583768,10600.515731583768
2016-12-23,20621.471238845566,10621.471238845566
2016-12-27,20637.62636647405,10637.62636647405
2016-12-28,20677.334567336355,10677.334567336355
2016-12-29,20560.745572662294,10560.745572662294
2016-12-30,20579.760937649004,10579.760937649004
2017-01-03,20643.44215240568,10643.442152405682
2017-01-04,20698.626398875378,10698.626398875378
2017-01-05,20788.24948813119,10788.24948813119
2017-01-06,20842.24912028279,10842.249120282791
2017-01-09,20872.909264865655,10872.909264865655
2017-01-10,20812.912231082693,10812.912231082693
2017-01-11,20811.460234942428,10811.460234942428
2017-01-12,20802.166443028585,10802.166443028585
2017-01-13,20823.93751683482,10823.93751683482
2017-01-17,20695.1599869534,10695.1599869534
2017-01-18,20730.875551911366,10730.875551911366
2017-01-19,20749.537597692026,10749.537597692026
2017-01-20,20749.537597692026,10749.537597692026
2017-01-23,20696.96908291985,10696.969082919852
2017-01-24,20842.874307432263,10842.874307432263
2017-01-25,20970.50812353982,10970.508123539821
2017-01-26,20909.277755739124,10909.277755739124
2017-01-27,20939.67444199766,10939.67444199766
2017-01-30,20890.574123716746,10890.574123716746
2017-01-31,20822.429429316904,10822.429429316904
2017-02-01,20836.787063970653,10836.787063970653
2017-02-02,20805.02658886338,10805.02658886338
2017-02-03,20854.35083299762,10854.350832997621
2017-02-06,20816.440194671162,10816.440194671162
2017-02-07,20817.165822592637,10817.165822592637
2017-02-08,20835.789239957478,10835.789239957478
2017-02-09,20926.96020290533,10926.960202905331
2017-02-10,20921.70378695929,10921.70378695929
2017-02-13,21043.995687709943,11043.995687709943
2017-02-14,21005.338736133224,11005.338736133224
2017-02-15,21186.546583916,11186.546583915999
2017-02-16,21363.80373228814,11363.80373228814
2017-02-17,21363.80373228814,11363.80373228814
2017-02-21,21514.363927170958,11514.363927170958
2017-02-22,21514.08659441129,11514.086594411288
2017-02-23,21632.196194107608,11632.196194107608
2017-02-24,21516.532238912914,11516.532238912914
2017-02-27,21566.77086396228,11566.77086396228
2017-02-28,21511.213470723575,11511.213470723575
2017-03-01,21709.03545609328,11709.03545609328
2017-03-02,21856.426856148722,11856.426856148722
2017-03-03,21713.723784335358,11713.723784335358
2017-03-06,21642.97508406258,11642.975084062578
2017-03-07,21660.206526399696,11660.206526399696
2017-03-08,21714.6110822866,11714.6110822866
2017-03-09,21662.7772121966,11662.7772121966
2017-03-10,21764.685235269437,11764.685235269437
2017-03-13,21709.116318931076,11709.116318931076
2017-03-14,21641.718105913602,11641.718105913602
2017-03-15,21751.911804132593,11751.911804132593
2017-03-16,21829.127535402993,11829.127535402993
2017-03-17,21806.920687831473,11806.920687831473
2017-03-20,21806.920687831473,11806.920687831473
2017-03-21,21836.213660678983,11836.213660678983
2017-03-22,21257.08292228552,11257.08292228552
2017-03-23,21265.34449629029,11265.34449629029
2017-03-24,21392.329531588774,11392.329531588774
2017-03-27,20935.719165226812,10935.719165226812
2017-03-28,21117.712710660595,11117.712710660595
2017-03-29,21286.518587501014,11286.518587501014
2017-03-30,21255.55568318451,11255.55568318451
2017-03-31,21350.96018871192,11350.96018871192
2017-04-03,21332.27864711333,11332.27864711333
2017-04-04,21219.729872123364,11219.729872123364
2017-04-05,21459.439871933748,11459.439871933748
2017-04-06,21191.06915887824,11191.06915887824
2017-04-07,21151.733183292505,11151.733183292505
2017-04-10,21206.401351152264,11206.401351152264
